Question,Answer,Response Time (s)
How many successful passes did each team have?,"Aalborg BK had 333 successful passes.

Viborg FF had 410 successful passes.",1.1732861995697021
How many unsuccessful passes were made by each team?,"Aalborg BK made 101 unsuccessful passes.
Viborg FF made 97 unsuccessful passes.",1.2701642513275146
Which team had the most offside passes?,"Viborg FF had the most offside passes with 2 successful offside pass events, compared to Aalborg BK, which had 1 successful offside pass event.",1.8436150550842285
How many fouls were committed by each team?,"Aalborg BK committed a total of 18 fouls (11 successful fouls and 7 unsuccessful fouls).

Viborg FF committed a total of 17 fouls (7 successful fouls and 10 unsuccessful fouls).",1.7412819862365723
Which team was awarded the most corners?,Viborg FF was awarded the most corners with a total of 6 successful corner awarded events. Aalborg BK had 3 successful corner awarded events.,1.13614821434021
How many shots did each team have?,"Based on the event data provided:

### Aalborg BK:
- **Successful Shot saved events:** 9
- **Successful Shot off target events:** 3
- **Successful Goal events:** 1

Total shots for Aalborg BK: **9 + 3 + 1 = 13**

### Viborg FF:
- **Successful Shot saved events:** 6
- **Successful Shot off target events:** 5
- **Successful Shot on post events:** 2
- **Successful Goal events:** 2

Total shots for Viborg FF: **6 + 5 + 2 + 2 = 15**

### Summary:
- **Aalborg BK:** 13 shots
- **Viborg FF:** 15 shots",3.5734808444976807
Which team created the most chances?,"To determine which team created the most chances, we can look at the number of successful shots (both on target and off target), successful shots saved, and successful shots on post, as these events typically represent goal-scoring opportunities.

### Aalborg BK:
- Successful Shot saved events: 9
- Successful Shot off target events: 3
- Successful Goal events: 1
- Successful Shot on post events: 0

Total chances created by Aalborg BK: 9 + 3 + 1 + 0 = 13

### Viborg FF:
- Successful Shot saved events: 6
- Successful Shot off target events: 5
- Successful Goal events: 2
- Successful Shot on post events: 2

Total chances created by Viborg FF: 6 + 5 + 2 + 2 = 15

### Conclusion:
Viborg FF created the most chances with a total of 15 chances compared to Aalborg BK's 13 chances.",5.80140495300293
What was the result of the match?,"Based on the event data provided, the result of the match was a 2-1 victory for Viborg FF over Aalborg BK. Viborg FF scored two goals (42' by Mads Lauritsen and 84' by Tobias Bech), while Aalborg BK scored one goal (76' by Anders Hagelskjær).",2.4929590225219727
How many successful defensive actions did each team have?,"To determine the number of successful defensive actions for each team, we will count the following events: Successful Clearance, Successful Interception, Successful Tackle, and Successful Save.

### Aalborg BK:
- Successful Clearance: 32
- Successful Interception: 13
- Successful Tackle: 7
- Successful Save: 9

Total successful defensive actions for Aalborg BK: 
32 (Clearance) + 13 (Interception) + 7 (Tackle) + 9 (Save) = **61**

### Viborg FF:
- Successful Clearance: 15
- Successful Interception: 7
- Successful Tackle: 6
- Successful Save: 9

Total successful defensive actions for Viborg FF: 
15 (Clearance) + 7 (Interception) + 6 (Tackle) + 9 (Save) = **37**

### Summary:
- **Aalborg BK**: 61 successful defensive actions
- **Viborg FF**: 37 successful defensive actions",7.671090841293335
Which players had most successful passes between each other?,"Based on the event data provided, the players with the most successful passes between each other are:

### Aalborg BK:
1. **Milan Makaric to Mathias Ross**:
   - 0' in zone 4C to 4C
   - 0' in zone 6C to 6C

2. **Iver Fossum to Milan Makaric**:
   - 0' in zone 6E to 6E

3. **Pedro Ferreira to Iver Fossum**:
   - 0' in zone 4B to 4B

4. **Lars Kramer to Mathias Ross**:
   - 0' in zone 3D to 3D

### Viborg FF:
1. **Jeppe Grønning to Jakob Bonde**:
   - 0' in zone 2D to 2D
   - 1' in zone 3D to 3D

2. **Lucas Lund to Nicolas Bürgy**:
   - 0' in zone 1C to 1C
   - 0' in zone 1B to 1B

3. **Nicolas Bürgy to Lucas Lund**:
   - 0' in zone 1B to 1B

4. **Christian Sørensen to Jakob Bonde**:
   - 1' in zone 4E to 4E

These pairs of players had multiple successful passes between each other, indicating strong passing connections within their respective teams.",7.8939666748046875
Which players scored the goals?,"The players who scored the goals are:

- **Anders Hagelskjær** for Aalborg BK at 76' in zone 5C.
- **Mads Lauritsen** for Viborg FF at 42' in zone 6C.
- **Tobias Bech** for Viborg FF at 84' in zone 6C.",2.0306029319763184
When was the goals scored?,"The goals were scored at the following times:

- For Aalborg BK:
  - 76' by Anders Hagelskjær in zone 5C to 5C

- For Viborg FF:
  - 42' by Mads Lauritsen in zone 6C to 6C
  - 84' by Tobias Bech in zone 6C to 6C",2.166860818862915
In which zones were the goals scored for each team?,"For Aalborg BK, the goal was scored in zone 5C.

For Viborg FF, the goals were scored in zone 6C.",1.2281420230865479
In which zones were the chances created for each team?,"To determine the zones where chances were created for each team, we need to look at the events that typically lead to scoring opportunities. These events include ""Successful Shot saved,"" ""Successful Shot off target,"" ""Successful Shot on post,"" and ""Successful Goal.""

### Aalborg BK
- **Successful Shot saved:**
  - Zone 5D
  - Zone 5C (twice)
  - Zone 6C (twice)
  - Zone 6D
  - Zone 5B
  - Zone 6B

- **Successful Shot off target:**
  - Zone 5C
  - Zone 5B
  - Zone 6D

- **Successful Goal:**
  - Zone 5C

### Viborg FF
- **Successful Shot saved:**
  - Zone 6D
  - Zone 5C
  - Zone 6B
  - Zone 6C (three times)

- **Successful Shot off target:**
  - Zone 6C (four times)
  - Zone 5D

- **Successful Shot on post:**
  - Zone 5B
  - Zone 5C

- **Successful Goal:**
  - Zone 6C (twice)

### Summary of Zones where Chances were Created:
- **Aalborg BK:**
  - Zone 5D
  - Zone 5C
  - Zone 6C
  - Zone 6D
  - Zone 5B
  - Zone 6B

- **Viborg FF:**
  - Zone 6D
  - Zone 5C
  - Zone 6B
  - Zone 6C
  - Zone 5D
  - Zone 5B

These zones indicate where each team was able to create significant scoring opportunities during the match.",7.782337188720703
