Question,Answer,Response Time (s)
How many successful passes did each team have?,"To determine the number of successful passes for each team, we need to count the events labeled as ""Pass: successful"" and group them by team. Here is the breakdown:

### Viborg FF
1. Pass: successful minute 32 Christian Sørensen zone 5E Jeppe Grønning zone 5E team Viborg FF
2. Pass: successful minute 78 Christian Sørensen zone 5E Jeppe Grønning zone 5E team Viborg FF
3. Pass: successful minute 61 Christian Sørensen zone 2E Jeppe Grønning zone 2E team Viborg FF
4. Pass: successful minute 25 Christian Sørensen zone 4E Jeppe Grønning zone 4E team Viborg FF
5. Pass: successful minute 42 Christian Sørensen zone 6E Mads Lauritsen zone 6E team Viborg FF
6. Pass: successful minute 78 Ibrahim Said zone 6E Christian Sørensen zone 6E team Viborg FF
7. Pass: successful minute 77 Christian Sørensen zone 3E Jeppe Grønning zone 3E team Viborg FF
8. Pass: successful minute 46 Nicolas Bürgy zone 5C Jeppe Grønning zone 5C team Viborg FF

Total successful passes for Viborg FF: **8**

### Aalborg BK
1. Pass: successful minute 48 Louka Prip zone 6E Malthe Højholt zone 6E team Aalborg BK
2. Pass: successful minute 86 Kasper Kusk zone 4A Kristoffer Pallesen zone 4A team Aalborg BK
3. Pass: successful minute 0 Louka Prip zone 5E N/A zone 5E team Aalborg BK
4. Pass: successful minute 47 Louka Prip zone 5E Iver Fossum zone 5E team Aalborg BK
5. Pass: successful minute 48 Mathias Ross zone 4B Iver Fossum zone 4B team Aalborg BK
6. Pass: successful minute 28 Kristoffer Pallesen zone 4A Mathias Ross zone 4A team Aalborg BK
7. Pass: successful minute 86 Kristoffer Pallesen zone 1B Kasper Kusk zone 1B team Aalborg BK
8. Pass: successful minute 33 Mathias Ross zone 4B Lars Kramer zone 4B team Aalborg BK
9. Pass: successful minute 30 Mathias Ross zone 4B Malthe Højholt zone 4B team Aalborg BK
10. Pass: successful minute 49 Malthe Højholt zone 5A Kristoffer Pallesen zone 5A team Aalborg BK
11. Pass: successful minute 47 Kristoffer Pallesen zone 5A Mathias Ross zone 5A team Aalborg BK
12. Pass: successful minute 66 Kristoffer Pallesen zone 4A Lars Kramer zone 4A team Aalborg BK
13. Pass: successful minute 66 Kristoffer Pallesen zone 4A Lars Kramer zone 4A team Aalborg BK
14. Pass: successful minute 39 Kristoffer Pallesen zone 1A Mathias Ross zone 1A team Aalborg BK
15. Pass: successful minute 86 Kristoffer Pallesen zone 4A Lars Kramer zone 4A team Aalborg BK
16. Pass: successful minute 5 Mathias Ross zone 4B Allan Sousa zone 4B team Aalborg BK
17. Pass: successful minute 8 Iver Fossum zone 5D Malthe Højholt zone 5D team Aalborg BK
18. Pass: successful minute 10 Louka Prip zone 5E Iver Fossum zone 5E team Aalborg BK
19. Pass: successful minute 8 Malthe Højholt zone 5E Jakob Ahlmann zone 5E team Aalborg BK
20. Pass: successful minute 64 Kristoffer Pallesen zone 2A Lars Kramer zone 2A team Aalborg BK
21. Pass: successful minute 59 Kristoffer Pallesen zone 2A Lars Kramer zone 2A team Aalborg BK
22. Pass: successful minute 22 Kristoffer Pallesen zone 2A Mathias Ross zone 2A team Aalborg BK
23. Pass: successful minute 23 Kristoffer Pallesen zone 2A Mathias Ross zone 2A team Aalborg BK
24. Pass: successful minute 8 Malthe Højholt zone 5D Iver Fossum zone 5D team Aalborg BK
25. Pass: successful minute 53 Kristoffer Pallesen zone 4A Mathias Ross zone 4A team Aalborg BK
26. Pass: successful minute 13 Kristoffer Pallesen zone 2A Mathias Ross zone 2A team Aalborg BK
27. Pass: successful minute 38 Kristoffer Pallesen zone 1A Mathias Ross zone 1A team Aalborg BK
28. Pass: successful minute 28 Mathias Ross zone 2B Iver Fossum zone 2B team Aalborg BK
29. Pass: successful minute 45 Kristoffer Pallesen zone 2A Malthe Højholt zone 2A team Aalborg BK
30. Pass: successful minute 28 Kristoffer Pallesen zone 3A Mathias Ross zone 3A team Aalborg BK
31. Pass: successful minute 7 Kristoffer Pallesen zone 2A Mathias Ross zone 2A team Aalborg BK
32. Pass: successful minute 28 Mathias Ross zone 2C Malthe Højholt zone 2C team Aalborg BK
33. Pass: successful minute 30 Mathias Ross zone 4B Lars Kramer zone 4B team Aalborg BK
34. Pass: successful minute 79 Malthe Højholt zone 2E Jakob Ahlmann zone 2E team Aalborg BK

Total successful passes for Aalborg BK: **34**

### Summary
- **Viborg FF:** 8 successful passes
- **Aalborg BK:** 34 successful passes",31.654617071151733
How many unsuccessful passes were made by each team?,"Based on the provided event data, here is the count of unsuccessful passes made by each team:

- **Aalborg BK**: 38 unsuccessful passes
- **Viborg FF**: 10 unsuccessful passes

This count is derived from the events listed in the document.",2.048035144805908
Which team had the most offside passes?,"Based on the provided event data, there are no explicit mentions of ""offside passes."" The data includes various types of events such as passes (successful and unsuccessful), fouls, interceptions, and defensive actions, but it does not specify any offside passes.

Therefore, it is not possible to determine which team had the most offside passes from the given data.",2.3202810287475586
How many fouls were committed by each team?,"Based on the provided event data, here is the count of fouls committed by each team:

### Aalborg BK:
1. Minute 44 - Iver Fossum
2. Minute 16 - Louka Prip
3. Minute 80 - Allan Sousa
4. Minute 17 - Malthe Højholt
5. Minute 27 - Milan Makaric
6. Minute 24 - Malthe Højholt
7. Minute 22 - Malthe Højholt
8. Minute 2 - Milan Makaric
9. Minute 35 - Jakob Ahlmann
10. Minute 87 - Anders Hagelskjær

Total fouls committed by Aalborg BK: 10

### Viborg FF:
1. Minute 79 - Nicolas Bürgy
2. Minute 80 - Daniel Anyembe
3. Minute 65 - Justin Lonwijk
4. Minute 35 - Justin Lonwijk
5. Minute 17 - Marokhy Ndione
6. Minute 16 - Daniel Anyembe
7. Minute 24 - Jakob Bonde
8. Minute 22 - Marokhy Ndione
9. Minute 20 - Mads Lauritsen
10. Minute 2 - Nicolas Bürgy
11. Minute 44 - Jeppe Grønning
12. Minute 62 - Mads Lauritsen
13. Minute 81 - Jeppe Grønning
14. Minute 90 - Mads Lauritsen
15. Minute 93 - Jeppe Grønning

Total fouls committed by Viborg FF: 15",8.097744226455688
Which team was awarded the most corners?,"The provided event data does not include any information about corner kicks. Therefore, I cannot determine which team was awarded the most corners based on the given data. If you have any other specific queries or need analysis on different aspects of the match, please let me know!",2.7910029888153076
How many shots did each team have?,"To determine the number of shots each team had, we need to count the events that are identified as 'Shot on target', 'Shot on post', 'Shot saved', and 'Goal'. Let's go through the provided data:

1. **Goal: successful minute 84 Tobias Bech zone 6C N/A zone 6C team Viborg FF**

From the provided data, we only have one shot event:

- **Viborg FF**: 1 shot (Goal by Tobias Bech)
- **Aalborg BK**: 0 shots

Therefore, the number of shots each team had is:
- **Viborg FF**: 1 shot
- **Aalborg BK**: 0 shots",5.209559917449951
Which team created the most chances?,"To determine which team created the most chances, we need to count the number of assists, defined as the pass in the event just before a shot. Let's identify all the shot events and then check the preceding events for successful passes.

### Shot Events:
1. **Minute 76**: Goal by Anders Hagelskjær (Aalborg BK)

### Preceding Events:
1. **Minute 76**: No preceding pass event listed in the provided data.

Based on the provided data, there is only one shot event, and it does not have a preceding pass event listed. Therefore, no assists (chances created) can be identified from the given data.

### Conclusion:
- **Aalborg BK**: 0 chances created
- **Viborg FF**: 0 chances created

Since neither team has any recorded assists (chances created) in the provided data, both teams created an equal number of chances, which is zero.",6.873800277709961
What was the result of the match?,"To determine the result of the match, we need to count the number of goals scored by each team. Goals are identified by the event summary ""Goal.""

Let's review the provided event data for any ""Goal"" events:

- There are no ""Goal"" events listed in the provided data.

Since no goals were recorded for either team, the result of the match is a draw.",2.8665761947631836
How many successful defensive actions did each team have?,"To determine the number of successful defensive actions for each team, we need to count the events labeled as ""Interception: successful"" and ""Tackle: successful"" for each team. Here is the breakdown:

### Aalborg BK:
- **Interceptions:**
  - Minute 52: Mathias Ross
  - Minute 81: Jakob Ahlmann
  - Minute 71: Anders Hagelskjær
  - Minute 84: Jakob Ahlmann
  - Minute 61: Jakob Ahlmann
  - Minute 52: Louka Prip
  - Minute 48: Lars Kramer
  - Minute 6: Jakob Ahlmann
  - Minute 70: Malthe Højholt
  - Minute 58: Pedro Ferreira
  - Minute 49: Pedro Ferreira

- **Tackles:**
  - Minute 81: Lucas Andersen
  - Minute 83: Anders Hagelskjær
  - Minute 32: Jakob Ahlmann
  - Minute 66: Lars Kramer
  - Minute 29: Allan Sousa
  - Minute 30: Allan Sousa

Total successful defensive actions for Aalborg BK: 17

### Viborg FF:
- **Interceptions:**
  - Minute 38: Mads Lauritsen
  - Minute 2: Mads Lauritsen
  - Minute 93: Daniel Anyembe
  - Minute 43: Jeppe Grønning
  - Minute 60: Nicolas Bürgy
  - Minute 93: Daniel Anyembe
  - Minute 32: Justin Lonwijk

- **Tackles:**
  - Minute 74: Jeppe Grønning
  - Minute 86: Christian Sørensen

Total successful defensive actions for Viborg FF: 9

### Summary:
- **Aalborg BK:** 17 successful defensive actions
- **Viborg FF:** 9 successful defensive actions",11.776973247528076
Which players had most successful passes between each other?,"To determine which players had the most successful passes between each other, we need to analyze the event data provided. Here's a breakdown of the successful passes between players:

1. **Pedro Ferreira to Mathias Ross**:
   - Minute 33 (zone 4D)
   - Minute 40 (zone 4D)
   - Minute 30 (zone 4D)
   - Minute 3 (zone 3D)
   - Minute 53 (zone 3A)

2. **Pedro Ferreira to Jakob Ahlmann**:
   - Minute 64 (zone 2E)
   - Minute 64 (zone 4D)
   - Minute 33 (zone 4D)
   - Minute 43 (zone 3D)
   - Minute 93 (zone 2D)

3. **Pedro Ferreira to Louka Prip**:
   - Minute 52 (zone 2D)
   - Minute 6 (zone 3D)

4. **Pedro Ferreira to Lars Kramer**:
   - Minute 23 (zone 2D)
   - Minute 25 (zone 2D)

5. **Pedro Ferreira to Iver Fossum**:
   - Minute 49 (zone 5B)
   - Minute 32 (zone 4D)

6. **Pedro Ferreira to Malthe Højholt**:
   - Minute 44 (zone 3D)
   - Minute 51 (zone 3A)

7. **Mathias Ross to Lars Kramer**:
   - Minute 33 (zone 4B)
   - Minute 30 (zone 4B)
   - Minute 44 (zone 2B)

8. **Mathias Ross to Josip Posavec**:
   - Minute 36 (zone 2B)
   - Minute 22 (zone 2B)
   - Minute 39 (zone 1B)

9. **Louka Prip to Pedro Ferreira**:
   - Minute 32 (zone 5E)
   - Minute 30 (zone 5E)

10. **Louka Prip to Jakob Ahlmann**:
    - Minute 3 (zone 5E)
    - Minute 55 (zone 1E)

11. **Mathias Ross to Iver Fossum**:
    - Minute 28 (zone 2B)
    - Minute 48 (zone 4B)

From the data, the pairs with the most successful passes between each other are:

- **Pedro Ferreira to Mathias Ross**: 5 successful passes
- **Pedro Ferreira to Jakob Ahlmann**: 5 successful passes

These two pairs had the highest number of successful passes between each other.",23.90378713607788
