Question,Answer
Which team has scored most goals from Matchday 1 to Matchday 3?,"['FC Midtjylland', 'Viborg FF', 'Silkeborg IF', 'FC Nordsjælland']"
Which player has had most shots from Matchday 1 to Matchday 3?,Casper Tengstedt
Which team has most saves from Matchday 1 to Matchday 3?,Viborg FF
Which player has most interceptions from Matchday 1 to Matchday 3?,Björn Kopplin
Which team has most corners awarded from Matchday 1 to Matchday 3?,FC København
Which player received most cards from Matchday 1 to Matchday 3?,Allan Sousa
Which 10 players received most cards from Matchday 1 to Matchday 3?,"Allan Sousa: 3, Tosin Kehinde: 2, Mads Lauritsen: 2, Jakob Ahlmann: 2, Anders Klynge: 2, Magnus Jensen: 2, Malte Kiilerich: 2, Adamo Nagalo: 2, Unknown Player ID: 2, Lubambo Musonda: 2"
Which teams played each other in Matchday 1?,"FC Midtjylland, Randers FC, Aalborg BK, Viborg FF, Silkeborg IF, Lyngby BK, FC København, AC Horsens, Brøndby IF, AGF Aarhus, Odense Boldklub, FC Nordsjælland"
How did FC Midtjylland perform from Matchday 1 to Matchday 3?,"FC Midtjylland had 7 successful goals, 33 shots, 99 successful defensive actions, 51 fouls, 22 corners awarded, and 6 offside passes"
Which team had the most offside passes from Matchday 1 to Matchday 3?,Brøndby IF
Which team had the most successful passes from Matchday 1 to Matchday 3?,FC København
How many chances did Odense Boldklub create from Matchday 1 to Matchday 3?,17
What was the result of Brøndby IF's matches from Matchday 1 to Matchday 3?,"Matchday 1: 2, Matchday 2: 2, Matchday 3: 2"
