Question,Answer,Response Time (s)
Which team has scored most goals from Matchday 1 to Matchday 3?,The team that has scored the most goals from Matchday 1 to Matchday 3 is FC Midtjylland with a total of 7 goals.,2.2098968029022217
Which player has had most shots from Matchday 1 to Matchday 3?,"The data provided does not include information about individual players, so it's not possible to determine which player had the most shots from Matchday 1 to Matchday 3.",2.4271140098571777
Which team has most saves from Matchday 1 to Matchday 3?,The team with the most saves from Matchday 1 to Matchday 3 is Viborg FF with a total of 28 saves.,2.0460338592529297
Which player has most interceptions from Matchday 1 to Matchday 3?,"The data provided does not include information about individual players, so it's not possible to determine which player had the most interceptions from Matchday 1 to Matchday 3.",2.1517350673675537
Which team has most corners awarded from Matchday 1 to Matchday 3?,The team with the most corners awarded from Matchday 1 to Matchday 3 is Brøndby IF with a total of 25 corners awarded.,2.557673931121826
Which player received most cards from Matchday 1 to Matchday 3?,"The data provided does not contain information about individual players, so it's not possible to determine which player received the most cards from Matchday 1 to Matchday 3.",3.071584939956665
Which 10 players received most cards from Matchday 1 to Matchday 3?,"The data provided does not include specific player information. Therefore, it's not possible to determine which 10 players received the most cards from Matchday 1 to Matchday 3.",2.3581628799438477
Which teams played each other in Matchday 1?,"The teams that played each other in Matchday 1 are Randers FC, FC Midtjylland, Viborg FF, Aalborg BK, Silkeborg IF, Lyngby BK, AC Horsens, FC København, AGF Aarhus, Brøndby IF, FC Nordsjælland, and Odense Boldklub.",4.038376808166504
How did FC Midtjylland perform from Matchday 1 to Matchday 3?,"- On Matchday 1, FC Midtjylland had 1 goal, 10 shots saved, 9 shots off target, 14 clearances, 9 interceptions, 8 tackles, and 8 corners awarded. They committed 12 fouls and received 4 cards.
- On Matchday 2, they scored 1 goal, had 2 shots saved, 6 shots off target, 4 clearances, 11 interceptions, 6 tackles, and 12 corners awarded. They committed 5 fouls and received 1 card.
- On Matchday 3, they scored 5 goals, had 2 shots saved, 4 shots off target, 9 clearances, 13 interceptions, 5 tackles, and 2 corners awarded. They committed 9 fouls and received 2 cards. 

Overall, FC Midtjylland showed improvement in their goal scoring from Matchday 1 to Matchday 3. Their defensive actions such as clearances and interceptions were consistent across the matchdays. They also managed to decrease their number of fouls over the three matchdays.",12.85608196258545
Which team had the most offside passes from Matchday 1 to Matchday 3?,The team with the most offside passes from Matchday 1 to Matchday 3 is Brøndby IF with a total of 7 offside passes.,2.5626680850982666
Which team had the most successful passes from Matchday 1 to Matchday 3?,"The data provided does not include information on successful passes. Therefore, it is not possible to determine which team had the most successful passes from Matchday 1 to Matchday 3.",2.4163248538970947
How many chances did Odense Boldklub create from Matchday 1 to Matchday 3?,Odense Boldklub created 5 chances from Matchday 1 to Matchday 3.,1.774238109588623
What was the result of Brøndby IF's matches from Matchday 1 to Matchday 3?,"- On Matchday 1, Brøndby IF scored 1 goal.
- On Matchday 2, Brøndby IF scored 1 goal.
- On Matchday 3, Brøndby IF did not score any goals.",3.1800906658172607
